CMDLINE C:\Users\rhira\Anaconda3\envs\multi\python.exe memory_usage.py
MEM 0.363281 1590406168.2426
MEM 13.460938 1590406168.3433
MEM 22.035156 1590406168.4435
MEM 28.207031 1590406168.5440
MEM 34.605469 1590406168.6447
MEM 39.375000 1590406168.7456
MEM 137.046875 1590406168.8456
MEM 38.648438 1590406168.9464
